x
1;Humicola
2;P. ancanthophoron
3;S. sapinea
4;A. tumefaciens
5;FSP
6;Cylindrocladium
7; B cinerea
8;Helminthosporum
9; b. cinerea
10;B. cinerea
11;F. sub
12;F. oxy. F. sub
13;Cryphonectra
14;Phytophthora
15;F. oxy
16;S.sapniea
17;Pythium
18; Phytophthora spp.
19;Botryitis
20; Cylindrocladium
21;penicillium
22;insect damage
23;Penicillium
24; Alternaria
25; Pestalotiopsis
26;aphids
27;Phaeosptoria
28;Collectrichum
29;Endothia gyrosa
30;E. gyrosa
31; B. dothidea
32; Conithyrium
33;P. cinnamomi
34;Fusarium spp. S. sapinea
35; S. sapinea
36; F sub
37; F. semitectium
38; F. oxy
39;phytophthora
40;sapro[hytes
41;Mycosphaerella
42;Botrysphearia
43;pachpasa
44;Pythium irregulare
45; P arrhenomanes
46;Collybia
47;Sporothrix eucalypti
48;saprophytes
49; botryitis
50;Spharopsis
51; fusarium
52; phytophthora
53; pythium
54;Rhizinia undulata
55;Diplodia
56;hylastes angustatus
57;Coniothyrium
58;f. oxy
59;Fusarium spp.
60;Acremonium
61;M. molleriana
62; phyophthora
63;Cerambycidae
64; cylindrocladium
65;verticilium
66; acremonium
67;p. irregularae
68;P. irregulare
69; P. rostratum
70; P. perplexum
71; P. echnulatum
72;Dothiostoma
73; saprophytes
74;s. sapinea
75;Hainesia lythuri
76;Phaeoseptoria
77;Botryospheria dothidea
78;diplodia
79; FSP
80;P. eucalypti
81;P. splendens
82; C. cubensis
83;Pestaliopsis
84; Fusarium sp.
85;P. eucalyptii
86;B. dothidea
87;Orthotomicus erosus
88;Macrophomopsis
89;Aureobasidium pullulans
90; trichoderma sp.
91; Cladosporium sp.
92; Alternaria sp.
93; phoma sp.
94;Harknessia
95;L. theobromae
96;Marchantia sp.
97;saprophytic
98;Fusarium sp. Trichoderma sp.
99; Pestalopsis sp.
100; Pythium sp.
101;C. gleosporiodes
102; verirticillium sp.
103; Hainesia lythuri
104;Saprophytes
105;Cylindrocladium 
106;Pestalotiopsis sp.
107; graphium sp.
108;penicillium sp.
109; Epicoccum
110;ophiostoma querci
111; Penicillium sp.
112; Pestaltiopsis sp.
113; Sphaeroteca sp.
114;Alternaria and botryitis
115;oomycete
116;Pseudomonas
117;veriticillum
118;Armilaria
119;Pythium or phytophthora
120;Cylindrcladium sp.
121;F. moniliforme
122;botrytis sp.
123;oomycetes
124;Botrytis sp.
125;Fusarium sp.
126;pythium sp.
127;cylindrcladium
128;mycosphaerella
129;Phytophthora sp.
130;Armillaria
131;Bostryosphearia
132;B dothidea
133;fusarium sp. and S. sapinea
134;Nuemacyclus minor
135;Aulographina eucalyptii
136; trichoderma
137;xanthomonas campestris pv juglandis
138;thrips
139;Powdery mildew
140;Rhizinia
141;Cylindrocladium sp.
142;F. oxy & F. sub
143; Botrytis sp
144; Alternara sp.
145;too dry
146;Mycosphaerella 
147;Pestalotiopsis
148; botrytis 
149;Bot.
150;Phaeseptoria eucalyptii
151;Phytophthora & Pythium spp.
152;white grub
153; Botrytis
154; Cladiosporium
155; Fudsarium sp.
156;Pythium sp.
157;Kirramyces epicoccoides
158;Botryo
159;Colletotrichium gleosporoides
160;P. ecalyptii
161;C. gleosporoides
162;Myccosphaerella sp.
163;Pythium & Phytophthora sp.
164;insects
165;Alternaria
166;Epicoccum
167;Chaetomium
168; Cytospora sp.
169;environmental factors
170;Xanthomonas sp.
171;Pestaltiopsis & Botrytis
172;inconclusive
173;Sphaeriopsis
