133;25; Brown needles 
156;25; Brown needles
93;24;Mechanical damage
153;24;Mechaniccal damage
89;23;Fruiting bodies
154;23; Fruiting bodies
85;22;S?
150;22; S?
72;21;Leaf curl
143;21; Leaf curl
66;20;Slight discoloration
120;20; Slight discoloration
62;19;No primary tip
134;19; No primary tip
61;18;Green
106;18; Green
60;17;Almost dead
131;17; Almost dead
53;16;Fresh
126;16; Few
132;16; Fresh
44;15;Clean
135;15; Clean
37;14;No tips
38;14;No tip
27;13;die-back
76;13;Die-back
86;13;Tip die-back
145;13; Die-back
26;12;Insect
97;12; Insect
19;11;wilted
21;11;Wilted
33;11;Witled
88;11;WIlted
91;11;Not wilted
95;11; Wilted
96;11; WIlted
101;11; Witled
18;10;scorch
28;10;Scorch
99;10; Scorch
17;9;alive
22;9;Alive
100;9; Alive
16;8;leaf spot
68;8;Leaf spots
94;8; Leaf spots
15;7;dead
23;7;Dead
92;7; Dead
104;7; Deade
11;6;Healthy
12;6;healthy
20;6;Heathy
47;6;Unhealthy tip
52;6;Unhealthy
121;6; Healthy
122;6; Unhealthy
10;5;brown
49;5;Brown
111;5; Brown
6;4;spots
36;4;Spots
4;3;dry
29;3;dying
39;3;Dry tip
40;3;Dry tips
41;3;Dry
46;3;Dying
48;3;Drying tip
51;3;Dying tip
54;3;Dying 
109;3; Dry tip
110;3; Dry
149;3; Dry 
3;2;leaves
84;2;No leaves
1;1;discolouration
2;1;red discolouration
5;1;dicolouration
8;1;ducolouration
13;1;discoluration
14;1;Discolouration
24;1;Discoloration
31;1;diiscolouration
34;1;Discoloraiton
74;1;No discoloration
79;1;Discoloraition
83;1; Discoloration
98;1; Discoloraiton
102;1; Discolration
146;1; discoloration
7;0;black discolouration
9;0;purple discolouration
25;0;Curled
30;0;Alive (Very tip)
32;0;Insect damage
35;0;Alive (1-20)
42;0;yelowing
43;0;Fresh but small
45;0;Alive but unhealthy
50;0;Secondary tip
55;0;Most needles dead
56;0;No green tips
57;0;Green & Healthy
58;0;Some alive
59;0;Some are fresh
63;0;A little dry
64;0;Good
65;0;(Junction)
67;0;Sligthly wilted
69;0;Lady bird larvae
70;0;Dull green
71;0;Discoloraion in cambium & sapwood
73;0;Fungal structures
75;0;Leaf spots (white spots)
77;0;Cut tip
78;0;None
80;0;Everything is dead
81;0;All removed
82;0;No growth
87;0;Decomposting
90;0;Alive (some) and Dead (some)
103;0; Wilted (1-16)
105;0; Discoloured
107;0; Very Small but fresh
108;0; Small
112;0; A bit dry
113;0; Some alive tips
114;0; Slightly green
115;0; Some tips alive
116;0; Some tips green and alive
117;0; Some green and brown
118;0; Some brown tips
119;0; Green & brown needles
123;0; Very dry
124;0; Tips not green
125;0; Clean & Green
127;0; Needled green lower down stem
128;0; Some dead
129;0; Some are a bit dry
130;0; Green & Fresh
136;0; Green (Junction)
137;0; Yellow
138;0; Chlorotic & necrotic at bases
139;0; New needles are necrotic
140;0; Stunted
141;0; Larvae in dead branches
142;0; Wilting
144;0; mites
147;0; Outer bark
148;0; Dry and brown
151;0; Blue staining
152;0; Scortch (Needles)
155;0; Young
157;0; Turning brown
158;0; Needles yellow & brown
159;0; Needles dying
160;0; Necrotic
161;0; Others are dying from base
162;0; Cambium
163;0;" Between outer and inner bark"""
164;0; Dead branches
165;0; Black stem
x;;
